student,degree,act,scholarship,ap_courses,first_gen,non_traditional
1,Yes,21,0,0,No,No
2,Yes,19,0,0,No,No
3,Yes,27,0,0,Yes,No
4,Yes,25,0.5,0,Yes,No
5,No,28,0,17,Yes,No
6,Yes,21,0,0,No,Yes
7,Yes,27,0,8,Yes,No
8,No,20,0,0,No,No
9,Yes,26,0,0,Yes,No
10,Yes,25,0,4,Yes,No
11,Yes,21,0,0,Yes,No
12,Yes,26,0,4,Yes,No
13,Yes,28,0,0,Yes,No
14,Yes,26,0,21,Yes,No
15,Yes,30,1.5,26,Yes,No
16,Yes,24,0,0,Yes,No
17,No,22,0,0,Yes,No
18,No,27,0,0,No,No
19,No,21,0,11,Yes,No
20,Yes,24,0,6,No,No
21,Yes,23,0,0,Yes,No
22,Yes,14,0,0,No,No
23,Yes,28,0,0,Yes,No
24,Yes,20,0,0,No,No
25,Yes,26,0,0,No,No
26,Yes,30,0,12,Yes,No
27,No,25,0,0,Yes,No
28,No,28,0,4,No,No
29,Yes,21,0,0,Yes,No
30,Yes,29,0,12,Yes,No
31,No,26,0.5,18,Yes,No
32,Yes,27,0,7,Yes,No
33,No,20,0,0,Yes,No
34,Yes,26,0,0,Yes,No
35,Yes,20,0,4,Yes,No
36,No,29,0,0,No,No
37,Yes,21,0,0,No,No
38,Yes,31,0,0,Yes,No
39,Yes,21,0,0,Yes,No
40,Yes,25,0,0,Yes,No
41,No,22,0,0,Yes,No
42,Yes,24,0,0,Yes,No
43,Yes,28,0,0,Yes,No
44,Yes,25,0,0,No,No
45,Yes,29,0,0,Yes,No
46,Yes,27,0,7,Yes,No
47,No,27,0,0,No,No
48,Yes,28,0,0,Yes,No
49,No,21,0,0,Yes,No
50,Yes,23,0,0,No,No
51,Yes,32,2.5,0,Yes,No
52,No,25,0,0,Yes,No
53,Yes,25,0,0,Yes,No
54,Yes,24,0,0,Yes,No
55,Yes,24,0,0,No,No
56,Yes,23,0,4,Yes,No
57,No,25,0,0,No,No
58,Yes,28,2,0,Yes,No
59,Yes,24,0,0,Yes,No
60,Yes,26,0,0,Yes,No
61,Yes,23,0,0,Yes,No
62,No,15,0,0,No,No
63,Yes,29,0,21,Yes,No
64,Yes,23,0,0,No,No
65,Yes,28,0,0,Yes,No
66,Yes,19,0,4,No,No
67,Yes,24,0,0,Yes,No
68,No,18,0,0,Yes,No
69,Yes,21,0,0,No,No
70,Yes,25,0,0,Yes,No
71,No,28,0,0,Yes,No
72,No,20,0,0,Yes,No
73,Yes,29,0,0,Yes,No
74,Yes,25,0,0,No,No
75,No,28,0,0,Yes,No
76,Yes,24,0,0,Yes,No
77,Yes,13,0,0,No,No
78,Yes,29,2,11,Yes,No
79,Yes,22,0,0,No,No
80,Yes,19,0,0,Yes,No
81,No,31,0,0,Yes,No
82,Yes,16,0,0,Yes,No
83,Yes,22,0,0,Yes,No
84,Yes,32,0,0,Yes,No
85,No,22,0,0,No,No
86,No,15,0,0,No,No
87,Yes,27,0.5,4,Yes,No
88,Yes,24,0,0,Yes,No
89,Yes,27,1,0,Yes,No
90,Yes,24,0,0,No,No
91,No,16,0,0,No,No
92,No,27,0,0,Yes,No
93,Yes,22,0,0,Yes,No
94,Yes,29,0,12,Yes,No
95,No,23,1.925,0,Yes,No
96,Yes,28,0,8,Yes,No
97,Yes,32,0,27,Yes,No
98,No,30,0,0,No,Yes
99,Yes,22,1,4,Yes,No
100,Yes,28,0,6,Yes,No
101,Yes,24,0,0,No,No
102,No,22,0,0,Yes,No
103,Yes,31,0,12,Yes,No
104,Yes,29,4,10,Yes,No
105,Yes,28,0,0,Yes,No
106,Yes,31,0,0,Yes,No
107,No,23,0,0,No,No
108,No,28,0,31,Yes,No
109,Yes,23,0,0,Yes,No
110,No,17,0,0,No,No
111,Yes,29,1.5,33,Yes,No
112,Yes,28,0,0,Yes,No
113,Yes,20,0,0,Yes,No
114,No,17,0,0,No,No
115,Yes,29,0,0,No,No
116,Yes,19,0,0,Yes,No
117,Yes,29,0.5,12,Yes,No
118,Yes,28,0,0,Yes,No
119,Yes,28,0,36,Yes,No
120,Yes,21,0,0,Yes,No
121,Yes,32,1,8,Yes,No
122,Yes,28,1.5,0,Yes,No
123,Yes,26,0,0,Yes,No
124,Yes,28,1.5,0,Yes,No
125,No,27,0,0,Yes,No
126,Yes,30,1.5,0,Yes,No
127,No,28,1,0,Yes,No
128,Yes,25,0,7,Yes,No
129,No,23,0,0,No,No
130,No,21,0,0,Yes,Yes
131,Yes,28,0,0,Yes,No
132,Yes,26,0,4,Yes,No
133,Yes,24,0,0,No,No
134,Yes,20,0,0,Yes,No
135,Yes,23,0,0,Yes,No
136,No,31,0,15,Yes,No
137,No,24,0,0,No,No
138,Yes,20,0,8,No,No
139,Yes,33,0,39,Yes,No
140,Yes,29,1.5,6,Yes,No
141,No,21,0,0,No,No
142,Yes,17,1,0,No,No
143,Yes,19,0,0,No,No
144,Yes,27,0,7,Yes,No
145,Yes,27,0,8,Yes,No
146,Yes,28,0,0,No,No
147,Yes,29,0,11,Yes,No
148,Yes,29,0,0,Yes,No
149,Yes,28,0,22,Yes,No
150,No,18,0,0,No,No
151,Yes,28,1.5,12,Yes,No
152,Yes,28,1,0,Yes,No
153,Yes,26,0,0,Yes,No
154,Yes,23,0,0,Yes,No
155,Yes,23,0,0,Yes,No
156,No,19,0,0,Yes,No
157,Yes,21,0,0,No,No
158,Yes,25,0,0,Yes,No
159,Yes,23,0,0,Yes,No
160,Yes,31,1,29,Yes,No
161,Yes,28,0,3,Yes,No
162,Yes,25,0,0,No,No
163,No,28,0,4,Yes,No
164,Yes,25,0,0,Yes,No
165,Yes,23,0,8,Yes,No
166,No,29,1.5,0,Yes,No
167,No,26,0,0,No,No
168,Yes,29,1.5,42,Yes,No
169,Yes,29,0,0,No,No
170,Yes,21,0,0,No,No
171,Yes,30,0,25,Yes,No
172,Yes,21,0,0,Yes,No
173,Yes,23,0,0,Yes,No
174,Yes,26,0,15,Yes,No
175,Yes,26,0,4,Yes,No
176,No,26,0,8,Yes,No
177,No,31,0,10,Yes,No
178,No,24,0,0,Yes,No
179,Yes,23,0,0,Yes,No
180,Yes,23,0,7,Yes,No
181,Yes,22,0,0,No,No
182,No,18,0,0,No,No
183,Yes,24,0,0,Yes,No
184,Yes,20,0,0,Yes,No
185,Yes,24,0,4,Yes,No
186,Yes,22,0,0,No,No
187,No,22,0,0,No,No
188,Yes,31,0,22,Yes,No
189,No,24,0,4,No,No
190,Yes,21,0,0,No,No
191,Yes,26,0,0,Yes,No
192,Yes,17,0,0,No,No
193,No,22,0,0,Yes,No
194,No,24,0,0,Yes,No
195,Yes,23,0,0,No,No
196,No,25,0,0,Yes,No
197,Yes,20,0,0,Yes,No
198,Yes,26,0,4,Yes,No
199,Yes,22,0,0,No,No
200,Yes,20,0,0,No,No
201,Yes,22,0,4,Yes,No
202,Yes,24,0,0,Yes,No
203,Yes,29,0,8,Yes,No
204,Yes,24,0,0,No,No
205,Yes,20,0,0,No,No
206,Yes,22,0,0,Yes,No
207,Yes,26,0,4,Yes,No
208,Yes,24,0,17,Yes,No
209,Yes,23,0,0,Yes,No
210,Yes,21,0,0,No,No
211,Yes,27,0,0,Yes,No
212,Yes,27,0,15,Yes,No
213,Yes,22,0,0,Yes,No
214,Yes,25,0,0,Yes,No
215,Yes,17,0,0,Yes,No
216,No,24,0,12,No,No
217,Yes,23,0,0,Yes,No
218,Yes,23,0,0,No,No
219,Yes,26,0,10,Yes,No
220,Yes,29,0,23,Yes,No
221,No,22,0,0,No,No
222,No,25,0,0,Yes,No
223,No,16,0,0,Yes,No
224,Yes,28,1.5,0,Yes,No
225,Yes,31,0,16,Yes,No
226,No,13,0,0,Yes,No
227,Yes,19,0,0,No,No
228,Yes,26,0,0,Yes,No
229,Yes,28,0,0,Yes,No
230,Yes,23,0,4,Yes,No
231,No,25,0,12,No,No
232,Yes,25,0,0,Yes,No
233,Yes,25,0,4,Yes,No
234,No,27,0,0,Yes,No
235,No,27,0,18,Yes,No
236,Yes,26,0,0,Yes,No
237,Yes,32,0.5,33,Yes,No
238,No,26,0,0,Yes,No
239,Yes,33,1.5,6,Yes,No
240,Yes,24,0,0,No,No
241,Yes,28,1.5,7,Yes,No
242,Yes,25,0,4,Yes,No
243,Yes,28,0,0,Yes,No
244,Yes,30,0,6,Yes,No
245,Yes,21,0,0,No,No
246,Yes,26,0,0,Yes,No
247,No,29,0,0,No,No
248,No,26,0,0,Yes,Yes
249,Yes,24,0,0,No,No
250,Yes,26,0,4,Yes,No
251,No,26,0,4,Yes,No
252,Yes,26,0,0,Yes,No
253,Yes,28,0,0,Yes,No
254,Yes,22,0,0,Yes,No
255,Yes,32,0.5,12,Yes,No
256,Yes,27,0,0,No,No
257,Yes,28,2.5,0,Yes,No
258,No,23,0,0,No,No
259,Yes,20,0,0,No,No
260,Yes,32,0.5,27,Yes,No
261,No,21,0,0,No,No
262,No,21,0,0,No,No
263,Yes,22,0,0,No,No
264,Yes,30,0.5,0,Yes,No
265,Yes,19,0,0,Yes,No
266,No,16,0,0,No,No
267,Yes,24,0,0,Yes,No
268,Yes,31,1.5,0,Yes,No
269,Yes,16,0,0,Yes,Yes
270,Yes,20,0,0,Yes,No
271,Yes,29,0,0,Yes,No
272,No,27,0,0,No,No
273,No,24,0,0,No,Yes
274,No,19,0,0,No,No
275,Yes,23,0,0,Yes,No
276,Yes,23,0,4,Yes,No
277,Yes,28,1,4,Yes,No
278,Yes,17,0,0,No,No
279,Yes,26,0,8,Yes,No
280,Yes,21,0,0,No,No
281,Yes,26,0,4,Yes,No
282,Yes,25,0,0,Yes,No
283,Yes,27,0,0,Yes,No
284,Yes,17,0,0,No,No
285,Yes,27,0,0,Yes,No
286,No,22,0,0,No,No
287,Yes,28,1.5,4,Yes,No
288,Yes,33,0.5,31,Yes,No
289,Yes,24,0,4,Yes,No
290,No,22,0,0,Yes,No
291,No,23,0,0,No,No
292,Yes,34,2,0,Yes,No
293,Yes,30,2.5,0,Yes,No
294,No,22,0,0,Yes,No
295,Yes,32,0,14,Yes,No
296,Yes,27,0,0,No,No
297,Yes,25,0,0,Yes,No
298,Yes,28,0,13,Yes,No
299,No,26,0,0,Yes,Yes
300,Yes,22,0,0,No,No
301,Yes,29,0,0,Yes,No
302,Yes,25,0,0,No,No
303,Yes,25,0,8,Yes,No
304,Yes,27,0,22,Yes,No
305,Yes,28,0,0,Yes,No
306,Yes,25,1,0,Yes,No
307,Yes,19,0,0,No,No
308,Yes,29,0.5,11,No,No
309,Yes,21,0,0,Yes,No
310,Yes,28,0,4,Yes,No
311,No,23,0,0,Yes,No
312,No,16,0,0,No,No
313,Yes,28,0,0,Yes,No
314,Yes,28,0,39,Yes,No
315,No,23,0,0,Yes,No
316,Yes,25,0,4,Yes,No
317,Yes,29,0,15,Yes,No
318,Yes,26,0.67500001,0,Yes,No
319,Yes,29,0,0,Yes,No
320,Yes,31,2.5,12,No,No
321,No,17,0,0,No,No
322,Yes,25,1,0,No,No
323,Yes,21,0,0,No,No
324,No,26,0,0,No,No
325,Yes,26,0,0,Yes,No
326,No,25,0,0,Yes,No
327,No,30,0,0,Yes,No
328,Yes,28,0,0,No,No
329,Yes,33,1.5,29,Yes,No
330,No,21,0,0,No,No
331,Yes,28,0,4,Yes,No
332,No,27,0,4,Yes,No
333,Yes,31,1,15,Yes,No
334,Yes,19,0,0,No,No
335,No,25,0,0,Yes,No
336,Yes,24,0,0,Yes,No
337,No,25,0,0,Yes,No
338,Yes,28,0,14,No,No
339,Yes,24,0,0,Yes,No
340,No,19,0,0,Yes,No
341,Yes,23,0,0,Yes,No
342,Yes,23,0,0,Yes,No
343,Yes,30,0,11,Yes,No
344,Yes,21,1,0,Yes,No
345,Yes,24,0,0,Yes,No
346,Yes,28,1.5,4,Yes,No
347,Yes,22,1.25,8,No,No
348,No,20,0,0,No,No
349,Yes,24,0,0,Yes,No
350,Yes,28,1.5,0,Yes,No
351,Yes,22,0,0,Yes,No
352,Yes,28,0,0,Yes,No
353,No,24,0,0,Yes,No
354,Yes,25,0.5,4,Yes,No
355,Yes,26,0,10,No,No
356,Yes,30,2.5,21,Yes,No
357,Yes,25,0,0,Yes,No
358,No,20,0,0,Yes,No
359,No,27,0,0,No,No
360,Yes,25,0,7,Yes,No
361,No,22,0,0,No,No
362,Yes,23,0.5,0,Yes,No
363,Yes,28,0,18,No,No
364,Yes,29,0,0,Yes,No
365,Yes,20,0,0,No,No
366,Yes,26,0,0,Yes,No
367,Yes,32,1.5,8,Yes,No
368,No,20,0,0,No,No
369,Yes,26,0,11,Yes,No
370,Yes,27,1,0,Yes,No
371,No,23,0,0,Yes,No
372,Yes,26,0,7,Yes,No
373,Yes,23,0,0,Yes,No
374,Yes,28,0,4,Yes,No
375,Yes,27,0,20,Yes,No
376,No,21,0,0,No,No
377,Yes,26,0,6,Yes,No
378,Yes,26,0,0,Yes,No
379,Yes,27,0,0,Yes,No
380,Yes,31,0,7,Yes,No
381,Yes,29,0,0,Yes,No
382,Yes,31,2.5,0,Yes,No
383,Yes,22,0,0,No,No
384,No,29,0,0,No,No
385,Yes,23,0.5,0,Yes,No
386,Yes,18,0,0,No,Yes
387,Yes,27,0,11,No,No
388,Yes,29,0.5,13,Yes,No
389,Yes,26,0,0,Yes,No
390,No,30,0,11,Yes,No
391,Yes,30,0,35,Yes,No
392,No,20,0,0,Yes,No
393,Yes,31,0.5,0,Yes,No
394,Yes,25,0,0,Yes,No
395,No,29,0,0,Yes,No
396,No,33,0,14,Yes,No
397,Yes,27,0,4,Yes,No
398,No,16,0,0,Yes,No
399,No,22,0,0,Yes,No
400,Yes,27,1,11,Yes,No
401,Yes,24,0,8,Yes,No
402,Yes,29,0,10,Yes,No
403,Yes,29,0,12,Yes,No
404,Yes,26,0,4,Yes,No
405,No,31,0,26,Yes,No
406,No,29,0,15,Yes,No
407,No,21,0,0,Yes,No
408,Yes,28,0,12,Yes,No
409,Yes,19,0,0,No,No
410,Yes,20,0,0,Yes,No
411,Yes,29,0,0,No,No
412,Yes,21,0,0,Yes,No
413,No,24,0,4,Yes,No
414,Yes,26,0,4,Yes,No
415,Yes,23,0,0,Yes,No
416,Yes,20,1,0,Yes,No
417,Yes,26,0,11,Yes,No
418,Yes,29,0,0,Yes,No
419,Yes,23,0,6,Yes,No
420,Yes,20,0,0,Yes,No
421,Yes,30,0,18,Yes,No
422,Yes,22,0,0,Yes,No
423,Yes,22,0,4,Yes,No
424,Yes,25,0,0,Yes,No
425,Yes,18,0,0,No,No
426,Yes,35,0,10,Yes,No
427,Yes,27,0,10,Yes,No
428,Yes,26,0,0,Yes,No
429,Yes,27,0,21,Yes,No
430,Yes,22,0,0,No,No
431,Yes,22,0,0,Yes,No
432,No,21,0,0,No,No
433,No,31,0.5,0,Yes,No
434,Yes,26,0,10,Yes,No
435,Yes,27,0,0,No,No
436,Yes,30,0,0,No,No
437,No,29,0,4,Yes,No
438,Yes,23,1,0,Yes,No
439,Yes,27,0,0,Yes,No
440,Yes,28,0.5,23,Yes,No
441,Yes,31,2.5,0,Yes,No
442,No,26,0,0,Yes,No
443,No,25,0,0,Yes,No
444,Yes,26,0,0,Yes,No
445,Yes,19,1,0,Yes,No
446,Yes,26,0,4,Yes,No
447,No,28,0,0,No,No
448,No,18,0,0,Yes,No
449,No,21,0,0,No,No
450,No,25,0,0,Yes,No
451,Yes,26,0,0,Yes,No
452,Yes,27,0,0,Yes,No
453,Yes,28,0,4,No,No
454,Yes,26,0,0,No,No
455,Yes,27,0,4,Yes,No
456,Yes,27,0,0,Yes,No
457,Yes,22,0,0,No,No
458,No,21,0,0,Yes,No
459,Yes,20,0,4,Yes,No
460,Yes,29,0,0,No,No
461,No,27,0,0,Yes,No
462,Yes,23,0,0,Yes,No
463,Yes,25,0,0,No,No
464,Yes,22,0,0,Yes,No
465,Yes,33,1,16,Yes,No
466,No,26,0,0,Yes,No
467,Yes,21,0,0,No,No
468,Yes,30,1.5,0,Yes,No
469,Yes,22,0,0,Yes,No
470,Yes,29,0,6,Yes,No
471,Yes,21,0,0,No,No
472,No,25,0,0,Yes,No
473,Yes,23,0,0,Yes,No
474,No,19,0,0,No,No
475,Yes,26,0,0,No,No
476,No,23,0,0,Yes,No
477,Yes,20,0,0,No,No
478,No,22,0,0,Yes,No
479,Yes,25,0,4,Yes,No
480,Yes,23,0,4,Yes,No
481,No,28,0,0,Yes,No
482,Yes,23,0,0,Yes,No
483,Yes,29,0,7,Yes,No
484,Yes,19,0,0,Yes,No
485,Yes,28,0,8,Yes,No
486,Yes,21,0,0,Yes,No
487,Yes,26,0,0,No,No
488,Yes,22,0,0,Yes,No
489,Yes,24,0,0,Yes,No
490,Yes,25,0,6,Yes,No
491,Yes,28,0,4,Yes,No
492,Yes,28,0,4,Yes,No
493,No,25,0,0,No,No
494,No,23,0,0,No,No
495,Yes,23,0,0,Yes,No
496,Yes,23,0,0,Yes,No
497,Yes,31,0,0,Yes,No
498,Yes,24,0,4,Yes,No
499,Yes,31,0,0,Yes,No
500,Yes,21,0,0,Yes,No
501,No,16,0,0,Yes,No
502,No,21,0,0,No,No
503,Yes,27,0,0,No,No
504,Yes,34,2.5,0,No,No
505,Yes,32,0,0,Yes,No
506,No,20,0,0,No,No
507,Yes,23,0,0,Yes,No
508,Yes,23,1,4,No,No
509,No,22,0,0,Yes,No
510,Yes,25,0,23,Yes,No
511,Yes,24,0,0,Yes,No
512,Yes,30,0.5,4,Yes,No
513,Yes,28,0,4,Yes,No
514,No,24,0,11,No,No
515,Yes,27,0,8,Yes,No
516,Yes,30,1.75,0,Yes,No
517,Yes,26,0,0,Yes,No
518,Yes,24,0,0,Yes,No
519,Yes,18,0,0,No,No
520,Yes,24,0.125,0,Yes,No
521,No,30,0,8,Yes,No
522,No,22,1,0,Yes,No
523,Yes,25,0,0,Yes,No
524,Yes,31,2.5,31,Yes,No
525,Yes,25,2,4,Yes,No
526,Yes,26,0,0,Yes,No
527,Yes,28,0,4,Yes,No
528,Yes,30,0,4,Yes,No
529,No,23,0,0,Yes,No
530,Yes,24,0,11,Yes,No
531,No,19,0,0,No,No
532,Yes,33,0,8,Yes,No
533,No,20,0,0,No,No
534,No,24,0,0,Yes,No
535,No,16,0,0,Yes,No
536,No,27,0,0,Yes,No
537,No,14,0,0,Yes,No
538,No,27,0,0,Yes,No
539,Yes,31,1.5,41,Yes,No
540,No,24,0,0,No,No
541,No,29,0.5,15,Yes,No
542,Yes,29,0,4,No,No
543,No,24,0,0,Yes,No
544,No,28,0,17,Yes,No
545,Yes,26,0,14,Yes,No
546,No,28,0,0,No,No
547,Yes,27,0,0,Yes,No
548,Yes,24,0,0,Yes,No
549,No,27,0,0,No,No
550,Yes,24,0,0,Yes,No
551,Yes,24,0,0,Yes,No
552,Yes,30,2.5,0,Yes,No
553,Yes,17,0,0,No,No
554,No,14,0,0,Yes,No
555,Yes,21,0,4,No,No
556,No,22,0,0,Yes,No
557,Yes,30,1.5,13,No,No
558,Yes,21,0,0,No,No
559,Yes,31,1,11,Yes,No
560,Yes,22,0,0,Yes,No
561,Yes,23,0,0,Yes,No
562,Yes,25,0,0,Yes,No
563,Yes,25,0,0,Yes,No
564,Yes,23,0,0,No,No
565,Yes,29,2.5,11,Yes,No
566,No,22,0,0,Yes,No
567,No,26,0,0,No,No
568,Yes,32,2.5,11,Yes,No
569,Yes,25,0,0,Yes,No
570,Yes,19,0,0,Yes,No
571,Yes,29,0,4,No,No
572,No,26,1,0,Yes,No
573,Yes,31,0.5,21,Yes,No
574,Yes,31,0,10,Yes,No
575,Yes,29,4,8,Yes,No
576,No,17,0,0,Yes,No
577,Yes,27,0,0,No,No
578,Yes,24,0,0,Yes,No
579,Yes,29,0,30,Yes,No
580,No,25,0,0,Yes,No
581,Yes,19,0,0,No,No
582,No,25,0,0,Yes,No
583,Yes,24,0,0,No,No
584,Yes,24,0,0,Yes,No
585,Yes,30,0,4,Yes,No
586,No,16,0,0,Yes,Yes
587,No,23,0,0,No,No
588,Yes,25,2,4,Yes,No
589,Yes,25,0,0,Yes,No
590,Yes,14,0,0,No,No
591,Yes,21,0,0,Yes,No
592,No,21,0,0,No,No
593,Yes,23,0,0,Yes,No
594,No,29,0,4,Yes,No
595,Yes,24,0,0,Yes,No
596,Yes,33,1.75,0,Yes,No
597,Yes,23,0,0,No,No
598,Yes,27,0,7,Yes,No
599,Yes,33,0,35,Yes,No
600,Yes,27,0,0,Yes,No
